8191	176
8191	176
8191	193
8191	201
8191	208
8191	225
8191	232
8191	232
8191	242
8191	257
8191	265
8191	272
8191	280
8191	290
8191	290
8191	304
8191	313
8191	319
8191	319
8191	334
8191	341
8191	347
8191	354
8191	361
8191	361
8191	367
8191	382
8191	388
8191	397
8191	397
8191	403
8191	413
8191	420
8191	427
8191	445
8191	452
8191	452
8191	461
8191	476
8191	485
8191	492
8191	500
8191	510
8191	518
8191	527
8191	527
8191	546
8191	554
8191	565
8191	573
8191	581
8191	591
8191	591
8191	598
8191	606
8191	615
8191	630
8191	639
8191	647
8191	657
8191	664
8191	672
8191	681
8191	689
8191	689
8191	697
8191	708
8191	716
8191	724
8191	743
8191	752
8191	764
8191	774
8191	774
8191	784
8191	796
8191	814
8191	825
8191	834
8191	841
8191	852
8191	859
8191	867
8191	878
8191	887
8191	894
8191	894
8191	911
8191	921
8191	929
8191	929
8191	947
8191	954
8191	962
8191	973
8191	973
8191	981
8191	989
8191	999
8191	1007
8191	1026
8191	1035
8191	1042
8191	1053
8191	1062
8191	1070
8191	1070
8191	1090
8191	1098
8191	1098
8191	1118
8191	1125
8191	1135
8191	1143
8191	1151
8191	1162
8191	1170
8191	1180
8191	1180
8191	1197
8191	1207
8191	1215
8191	1224
8191	1234
8191	1243
8191	1252
8191	1252
8191	1252
8191	1252
8191	1281
8191	1292
8191	1300
8191	1309
8191	1329
8191	1338
8191	1350
8191	1359
8191	1368
8191	1381
8191	1391
8191	1391
8191	1411
8191	1420
8191	1429
8191	1440
8191	1440
8191	1460
8191	1460
8191	1480
8191	1491
8191	1500
8191	1510
8191	1521
8191	1530
8191	1540
8191	1552
8191	1562
8191	1572
8191	1584
8191	1594
8191	1604
8191	1617
8191	1617
8191	1617
8191	1617
8191	1617
8191	1617
8191	1667
8191	1679
8191	1688
8191	1697
8191	1718
8191	1727
8191	1739
8191	1748
8191	1757
8191	1768
8191	1776
8191	1788
8191	1797
8191	1807
8191	1807
8191	1819
8191	1829
8191	1838
8191	1861
8191	1870
8191	1881
8191	1881
8191	1899
8191	1911
8191	1921
8191	1930
8191	1942
8191	1951
8191	1951
8191	1961
8191	1983
8191	1993
8191	2005
8191	2005
8191	2026
8191	2039
8191	2049
8191	2059
8191	2059
8191	2081
8191	2093
8191	2102
8191	2102
8191	2122
8191	2132
8191	2141
8191	2154
8191	2164
8191	2174
8191	2187
8191	2196
8191	2207
8191	2218
8191	2227
8191	2236
8191	2247
8191	2255
8191	2265
8191	2277
8191	2277
8191	2277
0	2277
0	2310
0	2319
0	2322
0	2316
0	2325
0	2345
0	2353
0	2361
0	2372
0	2380
0	2390
0	2399
0	2407
0	2418
0	2427
0	2434
0	2444
0	2452
0	2460
0	2469
