	0	0.000
803	5	0.000
784	5	0.000
801	5	0.000
800	5	0.000
779	5	0.000
779	5	0.000
796	5	0.000
794	5	0.000
760	5	0.000
777	5	0.000
776	5	0.000
792	5	0.000
776	5	0.000
776	5	0.000
776	5	0.000
759	5	0.000
777	5	0.000
776	5	0.000
776	5	0.000
761	5	0.000
760	5	0.000
