	0	0.000
1139	5	0.000
1120	5	0.000
1127	5	0.000
1127	5	0.000
1127	5	0.000
1117	5	0.000
1117	5	0.000
1117	5	0.000
1135	5	0.000
1135	5	0.000
1122	6	0.000
1129	5	0.000
801	5	0.000
964	5	0.000
1080	5	0.000
1120	5	0.000
1120	5	0.000
1118	5	0.000
1135	5	0.000
1114	5	0.000
1132	5	0.000
1129	5	0.000
1130	5	0.000
1129	5	0.000
1128	5	0.000
1128	5	0.000
1144	5	0.000
1128	4	0.000
1128	5	0.000
1496	5	0.000
1272	5	0.000
1177	5	0.000
1143	5	0.000
1128	5	0.000
1146	5	0.000
1130	5	0.000
1117	5	0.000
1130	4	0.000
1134	4	0.000
1489	5	0.000
1636	5	0.000
1362	5	0.000
1201	5	0.000
1176	5	0.000
1156	5	0.000
1143	4	0.000
1164	4	0.000
1506	4	0.000
1660	4	0.000
1699	4	0.000
1731	5	0.000
1717	5	0.000
1415	5	0.000
1247	5	0.000
1226	5	0.000
1185	5	0.000
1200	5	0.000
1201	5	0.000
1189	5	0.000
1213	5	0.000
1189	5	0.000
1183	5	0.000
1194	4	0.000
1164	5	0.000
1529	5	0.000
1353	5	0.000
1221	4	0.000
1209	5	0.000
1330	5	0.000
1496	5	0.000
1233	5	0.000
1222	5	0.000
1178	5	0.000
1230	5	0.000
1202	4	0.000
1193	4	0.000
1552	5	0.000
1717	5	0.000
1404	5	0.000
1275	5	0.000
1230	5	0.000
1221	5	0.000
1212	5	0.000
1222	5	0.000
1197	5	0.000
1208	5	0.000
1218	5	0.000
1199	5	0.000
1240	5	0.000
1233	5	0.000
1244	5	0.000
1226	5	0.000
1238	5	0.000
1220	5	0.000
1232	5	0.000
1250	5	0.000
1202	5	0.000
1214	5	0.000
1215	4	0.000
1236	4	0.000
1580	5	0.000
1718	5	0.000
1408	5	0.000
1294	5	0.000
1241	6	0.000
1202	5	0.000
891	5	0.000
1102	5	0.000
1212	5	0.000
1227	5	0.000
1256	5	0.000
1238	5	0.000
1221	5	0.000
1234	5	0.000
1249	5	0.000
1248	5	0.000
1231	5	0.000
1230	5	0.000
1244	5	0.000
1261	5	0.000
1244	5	0.000
1259	5	0.000
1243	5	0.000
1227	5	0.000
1245	5	0.000
1245	5	0.000
1229	4	0.000
1261	5	0.000
1582	5	0.000
1376	5	0.000
1296	5	0.000
1251	5	0.000
1267	5	0.000
1239	5	0.000
1257	5	0.000
1243	5	0.000
1260	5	0.000
1245	5	0.000
1247	5	0.000
1247	5	0.000
1273	5	0.000
1260	5	0.000
1227	5	0.000
1227	5	0.000
1255	5	0.000
1254	5	0.000
1259	5	0.000
1229	5	0.000
1271	6	0.000
1258	6	0.000
932	6	0.000
751	5	0.000
752	5	0.000
1040	5	0.000
1187	5	0.000
1222	4	0.000
1278	4	0.000
1612	5	0.000
1749	5	0.000
1449	5	0.000
1327	5	0.000
1271	6	0.000
1271	6	0.000
945	6	0.000
788	6	0.000
761	6	0.000
731	5	0.000
705	5	0.000
